DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
06-Mar-26,EQ,"9,780.00","9,884.50","9,690.00","9,804.50","9,800.00","9,816.00","9,801.65","10,187.00","7,089.35",386552,"3,78,88,45,521.50",55963
05-Mar-26,EQ,"9,674.50","9,853.00","9,641.00","9,652.50","9,814.00","9,804.50","9,738.51","10,187.00","7,089.35",300749,"2,92,88,47,601.50",54460
04-Mar-26,EQ,"9,516.50","9,704.50","9,516.50","9,776.00","9,650.00","9,652.50","9,622.20","10,187.00","7,089.35",319652,"3,07,57,55,556.50",54571
02-Mar-26,EQ,"9,725.50","9,941.50","9,565.00","9,972.50","9,769.50","9,776.00","9,746.71","10,187.00","7,089.35",330330,"3,21,96,31,197.00",57823
27-Feb-26,EQ,"10,072.50","10,091.50","9,940.00","10,110.00","9,955.50","9,972.50","10,002.36","10,187.00","7,089.35",231926,"2,31,98,06,497.50",35176
26-Feb-26,EQ,"10,146.50","10,187.00","10,029.50","10,097.00","10,119.50","10,110.00","10,094.35","10,187.00","7,089.35",177814,"1,79,49,17,213.50",28321
25-Feb-26,EQ,"9,859.50","10,160.00","9,839.50","9,829.00","10,098.50","10,097.00","10,055.18","10,160.00","7,089.35",334366,"3,36,21,10,441.50",44376
24-Feb-26,EQ,"9,875.00","9,875.00","9,660.00","9,905.50","9,850.00","9,829.00","9,790.50","10,059.50","7,089.35",259761,"2,54,31,90,055.00",35146
23-Feb-26,EQ,"9,851.00","9,930.00","9,814.00","9,807.00","9,884.50","9,905.50","9,885.89","10,059.50","7,089.35",145464,"1,43,80,41,337.00",31139
20-Feb-26,EQ,"9,725.00","9,823.00","9,670.50","9,729.00","9,812.00","9,807.00","9,765.73","10,059.50","7,089.35",291070,"2,84,25,11,730.50",39529
19-Feb-26,EQ,"9,991.00","10,059.50","9,701.00","9,980.00","9,721.50","9,729.00","9,869.38","10,059.50","7,089.35",310761,"3,06,70,19,868.50",47256
18-Feb-26,EQ,"9,826.50","10,009.00","9,804.50","9,826.50","10,004.00","9,980.00","9,913.12","10,009.00","7,089.35",334455,"3,31,54,94,050.50",46452
17-Feb-26,EQ,"9,651.00","9,869.00","9,632.50","9,697.50","9,821.00","9,826.50","9,796.16","9,941.00","7,089.35",159113,"1,55,86,96,458.00",27423
16-Feb-26,EQ,"9,710.00","9,774.50","9,643.00","9,760.00","9,690.00","9,697.50","9,695.77","9,941.00","7,089.35",88321,"85,63,40,177.50",16981
13-Feb-26,EQ,"9,800.50","9,900.50","9,720.00","9,840.00","9,748.00","9,760.00","9,804.34","9,941.00","7,089.35",120688,"1,18,32,66,535.00",23999
12-Feb-26,EQ,"9,876.50","9,930.00","9,809.50","9,869.50","9,840.00","9,840.00","9,865.54","9,941.00","7,089.35",372062,"3,67,05,91,786.00",32825
11-Feb-26,EQ,"9,818.00","9,905.50","9,796.00","9,774.00","9,870.00","9,869.50","9,860.25","9,941.00","7,089.35",324008,"3,19,48,00,206.50",39986
10-Feb-26,EQ,"9,605.00","9,833.50","9,582.50","9,590.00","9,762.00","9,774.00","9,773.82","9,941.00","7,089.35",347018,"3,39,16,92,967.00",36855
09-Feb-26,EQ,"9,598.00","9,626.50","9,505.00","9,518.50","9,580.00","9,590.00","9,573.31","9,941.00","7,089.35",171033,"1,63,73,51,346.50",24984
06-Feb-26,EQ,"9,620.00","9,668.00","9,471.50","9,647.00","9,517.50","9,518.50","9,521.13","9,941.00","7,089.35",198790,"1,89,27,06,066.00",29650
05-Feb-26,EQ,"9,640.00","9,679.00","9,600.00","9,639.00","9,659.50","9,647.00","9,646.50","9,941.00","7,089.35",155663,"1,50,16,03,811.50",30479
04-Feb-26,EQ,"9,594.00","9,725.00","9,529.50","9,595.50","9,625.00","9,639.00","9,639.77","9,941.00","7,089.35",201083,"1,93,83,93,563.00",38735
03-Feb-26,EQ,"9,933.00","9,941.00","9,515.00","9,496.50","9,610.00","9,595.50","9,656.57","9,941.00","7,089.35",573385,"5,53,69,32,937.00",45782
02-Feb-26,EQ,"9,454.50","9,523.00","9,250.50","9,499.50","9,474.00","9,496.50","9,382.71","9,888.00","7,089.35",327240,"3,07,03,98,519.00",50108
01-Feb-26,EQ,"9,788.50","9,855.00","9,175.50","9,597.50","9,500.00","9,499.50","9,533.19","9,888.00","7,089.35",504289,"4,80,74,85,071.50",64189
30-Jan-26,EQ,"9,497.00","9,626.00","9,382.50","9,512.00","9,584.00","9,597.50","9,554.65","9,888.00","7,089.35",283660,"2,71,02,70,978.00",41076
29-Jan-26,EQ,"9,475.00","9,533.00","9,381.50","9,433.50","9,512.50","9,512.00","9,461.92","9,888.00","7,089.35",390096,"3,69,10,56,011.00",60135
28-Jan-26,EQ,"9,500.00","9,533.50","9,250.00","9,492.00","9,469.00","9,433.50","9,347.88","9,888.00","7,089.35",342407,"3,20,07,78,201.50",46072
27-Jan-26,EQ,"9,422.00","9,506.00","9,330.00","9,413.50","9,500.00","9,492.00","9,424.28","9,888.00","7,089.35",302065,"2,84,67,43,685.00",45680
23-Jan-26,EQ,"9,390.00","9,548.00","9,335.00","9,370.00","9,422.00","9,413.50","9,442.79","9,888.00","7,089.35",204212,"1,92,83,31,402.50",30389
22-Jan-26,EQ,"9,225.00","9,391.50","9,185.50","9,179.00","9,387.00","9,370.00","9,287.36","9,888.00","7,089.35",193757,"1,79,94,91,266.00",23047
21-Jan-26,EQ,"9,150.00","9,255.00","9,072.00","9,180.00","9,185.00","9,179.00","9,156.22","9,888.00","7,089.35",323092,"2,95,83,02,003.50",45129
20-Jan-26,EQ,"9,468.00","9,468.00","9,155.00","9,429.50","9,176.50","9,180.00","9,288.12","9,888.00","7,089.35",385253,"3,57,82,77,002.00",41854
19-Jan-26,EQ,"9,489.00","9,489.00","9,393.50","9,489.00","9,415.00","9,429.50","9,434.97","9,888.00","7,089.35",403445,"3,80,64,90,346.50",34822
16-Jan-26,EQ,"9,540.00","9,616.50","9,389.50","9,579.50","9,487.00","9,489.00","9,487.58","9,888.00","7,089.35",528450,"5,01,37,12,418.00",58253
14-Jan-26,EQ,"9,576.00","9,610.00","9,494.00","9,554.00","9,570.00","9,579.50","9,551.63","9,888.00","7,089.35",335206,"3,20,17,64,725.00",47780
13-Jan-26,EQ,"9,506.00","9,576.50","9,458.50","9,491.00","9,550.00","9,554.00","9,514.31","9,888.00","7,089.35",229215,"2,18,08,22,245.00",28064
12-Jan-26,EQ,"9,562.50","9,588.50","9,360.00","9,562.50","9,478.50","9,491.00","9,472.38","9,888.00","7,089.35",332453,"3,14,91,22,112.50",41954
09-Jan-26,EQ,"9,760.50","9,830.00","9,538.00","9,760.50","9,578.50","9,562.50","9,663.19","9,888.00","7,089.35",250994,"2,42,54,02,426.00",32883
08-Jan-26,EQ,"9,799.50","9,888.00","9,725.00","9,789.50","9,738.00","9,760.50","9,808.87","9,888.00","7,089.35",534086,"5,23,87,77,996.00",60632
07-Jan-26,EQ,"9,668.00","9,807.00","9,608.00","9,661.00","9,807.00","9,789.50","9,733.00","9,807.00","7,089.35",334802,"3,25,86,28,965.50",35565
06-Jan-26,EQ,"9,575.00","9,783.50","9,543.00","9,497.50","9,668.00","9,661.00","9,694.98","9,783.50","7,089.35",503002,"4,87,65,95,817.00",71922
05-Jan-26,EQ,"9,520.00","9,684.00","9,465.00","9,502.50","9,499.00","9,497.50","9,556.33","9,684.00","7,089.35",304245,"2,90,74,66,580.00",37006
02-Jan-26,EQ,"9,550.00","9,633.00","9,310.50","9,558.00","9,499.00","9,502.50","9,507.15","9,633.00","7,089.35",733651,"6,97,49,32,975.00",57314
01-Jan-26,EQ,"9,365.00","9,585.00","9,318.50","9,343.00","9,585.00","9,558.00","9,483.21","9,585.00","7,089.35",306936,"2,91,07,39,290.00",28387
31-Dec-25,EQ,"9,320.00","9,398.00","9,296.50","9,282.00","9,350.00","9,343.00","9,350.29","9,490.00","7,089.35",319864,"2,99,08,21,807.50",40455
30-Dec-25,EQ,"9,087.00","9,299.00","9,025.50","9,087.00","9,298.00","9,282.00","9,225.21","9,490.00","7,089.35",464922,"4,28,90,02,991.50",50137
29-Dec-25,EQ,"9,069.50","9,127.00","9,055.50","9,064.50","9,096.00","9,087.00","9,092.32","9,490.00","7,089.35",263943,"2,39,98,54,426.00",23663
26-Dec-25,EQ,"9,182.50","9,185.50","9,052.00","9,170.00","9,067.00","9,064.50","9,116.94","9,490.00","7,089.35",105815,"96,47,09,055.00",21879
24-Dec-25,EQ,"9,100.00","9,194.50","9,070.00","9,099.00","9,174.00","9,170.00","9,155.31","9,490.00","7,089.35",167717,"1,53,55,01,956.00",18614
23-Dec-25,EQ,"9,184.00","9,184.00","9,080.00","9,164.00","9,085.00","9,099.00","9,120.74","9,490.00","7,089.35",215559,"1,96,60,58,359.50",23085
22-Dec-25,EQ,"9,010.00","9,185.00","8,997.50","9,002.00","9,153.50","9,164.00","9,142.16","9,490.00","7,089.35",377385,"3,45,01,13,244.50",31074
19-Dec-25,EQ,"8,830.50","9,011.00","8,827.00","8,831.00","9,000.00","9,002.00","8,962.46","9,490.00","7,089.35",215196,"1,92,86,84,550.50",21320
18-Dec-25,EQ,"8,891.00","8,891.00","8,735.00","8,895.00","8,826.50","8,831.00","8,798.52","9,490.00","7,089.35",338487,"2,97,81,86,155.00",37929
17-Dec-25,EQ,"9,008.00","9,009.00","8,859.00","9,008.00","8,868.00","8,895.00","8,929.76","9,490.00","7,089.35",256364,"2,28,92,69,985.50",37045
16-Dec-25,EQ,"8,940.00","9,028.00","8,891.00","8,940.00","8,989.00","9,008.00","8,977.63","9,490.00","7,089.35",278902,"2,50,38,79,526.50",39633
15-Dec-25,EQ,"9,040.00","9,042.50","8,884.00","9,015.00","8,921.00","8,940.00","8,923.42","9,490.00","7,089.35",507849,"4,53,17,51,705.00",45688
12-Dec-25,EQ,"9,065.00","9,089.50","8,960.00","9,053.50","9,015.50","9,015.00","9,024.35","9,490.00","7,089.35",356060,"3,21,32,09,141.50",28788
11-Dec-25,EQ,"8,991.00","9,084.00","8,961.00","8,991.00","9,057.00","9,053.50","9,040.99","9,490.00","7,089.35",136142,"1,23,08,59,064.00",20283
10-Dec-25,EQ,"8,961.00","9,001.50","8,904.00","8,961.00","8,980.00","8,991.00","8,957.93","9,490.00","7,089.35",307300,"2,75,27,71,335.50",31502
09-Dec-25,EQ,"8,990.00","9,034.50","8,880.00","9,026.00","8,929.00","8,961.00","8,968.90","9,490.00","7,089.35",373015,"3,34,55,35,175.50",39672
08-Dec-25,EQ,"9,115.00","9,124.50","8,956.50","9,109.00","9,035.00","9,026.00","9,013.01","9,490.00","7,089.35",299426,"2,69,87,28,815.50",40369
05-Dec-25,EQ,"9,054.00","9,130.00","9,045.50","9,085.00","9,110.00","9,109.00","9,095.83","9,490.00","7,089.35",279893,"2,54,58,60,079.00",29831
04-Dec-25,EQ,"9,005.00","9,095.00","8,988.00","9,000.50","9,080.50","9,085.00","9,045.15","9,490.00","7,089.35",275604,"2,49,28,78,991.00",27382
03-Dec-25,EQ,"9,085.50","9,105.00","8,950.00","9,085.50","9,007.50","9,000.50","9,006.41","9,490.00","7,089.35",412081,"3,71,13,69,088.50",38248
02-Dec-25,EQ,"9,100.00","9,142.00","8,988.00","9,096.00","9,072.00","9,085.50","9,057.95","9,490.00","7,089.35",319833,"2,89,70,29,869.50",39477
01-Dec-25,EQ,"9,129.00","9,189.50","9,055.50","9,073.50","9,090.00","9,096.00","9,115.75","9,490.00","7,089.35",449503,"4,09,75,56,655.50",42829
28-Nov-25,EQ,"9,031.00","9,106.00","8,922.00","9,022.50","9,080.00","9,073.50","9,011.49","9,636.35","7,089.35",432445,"3,89,69,71,918.00",40693
27-Nov-25,EQ,"9,194.00","9,254.50","8,996.00","9,164.00","9,040.50","9,022.50","9,094.24","9,636.35","7,089.35",602295,"5,47,74,16,812.50",63377
26-Nov-25,EQ,"9,054.00","9,180.00","9,028.00","9,048.00","9,156.50","9,164.00","9,129.32","9,636.35","7,089.35",354143,"3,23,30,83,263.00",34541
25-Nov-25,EQ,"9,025.00","9,145.00","9,001.00","9,007.50","9,045.00","9,048.00","9,079.93","9,636.35","7,089.35",482151,"4,37,78,96,602.50",46940
24-Nov-25,EQ,"8,905.00","9,049.00","8,857.50","8,892.00","9,015.00","9,007.50","9,005.05","9,636.35","7,089.35",466198,"4,19,81,35,595.00",38641
21-Nov-25,EQ,"8,950.00","8,957.50","8,862.00","8,979.50","8,890.00","8,892.00","8,904.82","9,698.60","7,089.35",320271,"2,85,19,54,484.00",29418
20-Nov-25,EQ,"8,924.00","9,005.00","8,890.00","8,884.50","8,984.00","8,979.50","8,968.08","9,698.60","7,089.35",189991,"1,70,38,54,678.50",30674
19-Nov-25,EQ,"8,950.00","8,975.00","8,863.50","8,921.00","8,872.00","8,884.50","8,920.42","9,698.60","7,089.35",326292,"2,91,06,63,240.00",37851
18-Nov-25,EQ,"8,975.50","8,999.00","8,900.00","8,945.50","8,915.00","8,921.00","8,957.67","9,698.60","7,089.35",276172,"2,47,38,57,490.00",31372
17-Nov-25,EQ,"8,850.00","9,025.00","8,850.00","8,843.00","8,949.00","8,945.50","8,973.04","9,698.60","7,089.35",457995,"4,10,96,09,002.00",42009
14-Nov-25,EQ,"8,867.50","8,867.50","8,781.50","8,867.50","8,845.00","8,843.00","8,809.99","10,032.90","7,089.35",550371,"4,84,87,61,093.00",36677
13-Nov-25,EQ,"8,888.00","8,895.50","8,842.00","8,868.00","8,863.00","8,867.50","8,869.29","10,032.90","7,089.35",276001,"2,44,79,34,225.50",36267
12-Nov-25,EQ,"8,935.00","8,935.00","8,800.00","8,895.00","8,845.00","8,868.00","8,856.24","10,032.90","7,089.35",439922,"3,89,60,55,054.00",56234
11-Nov-25,EQ,"8,819.00","8,945.00","8,726.00","8,772.00","8,900.00","8,895.00","8,858.43","10,032.90","7,089.35",380748,"3,37,28,30,910.50",43702
10-Nov-25,EQ,"8,795.00","8,838.00","8,685.50","8,721.50","8,770.00","8,772.00","8,756.83","10,032.90","7,089.35",992874,"8,69,44,28,329.50",76738
07-Nov-25,EQ,"8,720.00","8,749.50","8,605.00","8,720.50","8,717.00","8,721.50","8,665.04","10,079.80","7,089.35",290120,"2,51,39,01,648.50",33020
06-Nov-25,EQ,"8,755.00","8,820.50","8,702.50","8,751.00","8,713.00","8,720.50","8,756.99","10,079.80","7,089.35",326774,"2,86,15,57,181.00",29306
04-Nov-25,EQ,"8,920.00","8,920.00","8,713.00","8,922.50","8,751.00","8,751.00","8,764.97","10,079.80","7,089.35",517334,"4,53,44,18,649.50",57778
03-Nov-25,EQ,"8,900.00","8,957.50","8,855.00","8,892.50","8,928.00","8,922.50","8,895.52","10,079.80","7,089.35",206987,"1,84,12,57,149.00",25693
31-Oct-25,EQ,"8,939.50","9,051.00","8,802.00","8,923.00","8,900.00","8,892.50","8,937.15","10,292.75","7,089.35",261013,"2,33,27,13,610.50",28152
30-Oct-25,EQ,"9,034.00","9,065.00","8,904.50","9,034.00","8,914.00","8,923.00","8,973.22","10,292.75","7,089.35",250532,"2,24,80,79,986.00",24146
29-Oct-25,EQ,"9,090.00","9,090.00","8,960.00","9,057.50","9,034.50","9,034.00","9,034.11","10,292.75","7,089.35",226605,"2,04,71,73,967.50",27169
28-Oct-25,EQ,"9,100.00","9,130.00","9,019.00","9,095.50","9,057.00","9,057.50","9,063.27","10,292.75","7,089.35",459991,"4,16,90,23,525.00",65110
27-Oct-25,EQ,"9,099.50","9,115.00","9,055.00","9,076.50","9,090.00","9,095.50","9,092.97","10,292.75","7,089.35",310061,"2,81,93,75,728.00",27201
24-Oct-25,EQ,"9,070.00","9,099.00","9,012.00","9,047.00","9,080.50","9,076.50","9,061.00","10,829.85","7,089.35",332130,"3,00,94,31,399.00",25998
23-Oct-25,EQ,"9,136.00","9,157.00","9,017.00","9,118.00","9,036.00","9,047.00","9,080.84","10,829.85","7,089.35",249420,"2,26,49,44,032.50",31795
21-Oct-25,EQ,"9,159.50","9,165.00","9,081.00","9,124.50","9,105.50","9,118.00","9,134.24","10,829.85","7,089.35",27642,"25,24,88,710.00",3656
20-Oct-25,EQ,"9,194.50","9,236.50","9,100.50","9,150.50","9,115.50","9,124.50","9,156.84","10,829.85","7,089.35",303686,"2,78,08,04,736.50",40506
17-Oct-25,EQ,"9,150.00","9,194.50","9,090.50","9,151.50","9,146.00","9,150.50","9,144.33","11,990.10","7,089.35",466036,"4,26,15,87,903.00",45242
16-Oct-25,EQ,"9,030.00","9,177.00","9,022.00","8,998.00","9,144.50","9,151.50","9,139.85","11,990.10","7,089.35",334619,"3,05,83,68,044.00",47119
15-Oct-25,EQ,"9,106.50","9,180.00","8,955.50","9,102.50","9,015.00","8,998.00","9,072.40","11,990.10","7,089.35",300055,"2,72,22,18,611.00",43069
14-Oct-25,EQ,"9,100.00","9,120.00","9,032.50","9,066.00","9,101.00","9,102.50","9,091.56","11,990.10","7,089.35",297332,"2,70,32,11,350.00",44028
13-Oct-25,EQ,"8,947.00","9,084.00","8,917.00","8,946.50","9,081.00","9,066.00","9,048.86","11,990.10","7,089.35",374531,"3,38,90,76,989.50",43815
10-Oct-25,EQ,"8,816.00","8,955.00","8,781.50","8,810.00","8,943.00","8,946.50","8,902.86","12,030.95","7,089.35",228686,"2,03,59,59,390.50",33794
09-Oct-25,EQ,"8,775.00","8,817.50","8,701.50","8,792.00","8,812.00","8,810.00","8,774.69","12,030.95","7,089.35",217161,"1,90,55,19,927.50",29459
08-Oct-25,EQ,"8,903.00","8,903.00","8,750.50","8,904.00","8,769.00","8,792.00","8,820.60","12,030.95","7,089.35",408647,"3,60,45,11,861.00",51627
07-Oct-25,EQ,"8,800.00","8,915.00","8,785.50","8,792.00","8,900.00","8,904.00","8,848.31","12,030.95","7,089.35",490577,"4,34,07,77,563.00",42324
06-Oct-25,EQ,"8,698.00","8,803.50","8,651.00","8,679.50","8,799.00","8,792.00","8,726.35","12,030.95","7,089.35",300715,"2,62,41,44,110.50",31260
03-Oct-25,EQ,"8,626.50","8,698.50","8,491.50","8,626.50","8,685.00","8,679.50","8,588.01","12,651.15","7,089.35",915075,"7,85,86,70,107.50",68941
01-Oct-25,EQ,"8,720.00","8,846.50","8,586.50","8,678.50","8,616.00","8,626.50","8,686.05","12,651.15","7,089.35",551282,"4,78,84,62,875.00",54218
30-Sep-25,EQ,"8,721.00","8,769.00","8,640.00","8,717.50","8,705.50","8,678.50","8,684.89","12,651.15","7,089.35",285609,"2,48,04,82,280.00",42647
29-Sep-25,EQ,"8,745.00","8,829.00","8,675.50","8,702.00","8,720.00","8,717.50","8,742.66","12,651.15","7,089.35",394174,"3,44,61,28,425.00",49970
26-Sep-25,EQ,"8,830.00","8,880.00","8,668.00","8,842.50","8,715.00","8,702.00","8,794.68","12,774.00","7,089.35",335841,"2,95,36,12,776.50",36211
25-Sep-25,EQ,"8,821.00","8,910.00","8,758.00","8,839.00","8,827.50","8,842.50","8,836.02","12,774.00","7,089.35",441002,"3,89,67,00,869.50",42755
24-Sep-25,EQ,"8,990.00","8,999.00","8,804.00","8,984.50","8,824.50","8,839.00","8,881.33","12,774.00","7,089.35",240914,"2,13,96,36,169.00",31421
23-Sep-25,EQ,"9,079.00","9,225.00","8,950.00","9,054.50","8,968.00","8,984.50","9,078.30","12,774.00","7,089.35",451186,"4,09,60,03,431.00",59015
22-Sep-25,EQ,"8,971.50","9,195.00","8,959.50","8,971.50","9,033.00","9,054.50","9,112.63","12,774.00","7,089.35",525239,"4,78,63,06,451.50",52633
19-Sep-25,EQ,"9,050.00","9,063.50","8,950.50","9,075.00","8,976.00","8,971.50","8,988.12","12,774.00","7,089.35",467648,"4,20,32,78,063.50",39541
18-Sep-25,EQ,"9,099.50","9,115.00","9,025.00","9,084.00","9,075.00","9,075.00","9,065.17","12,774.00","7,089.35",183574,"1,66,41,29,480.50",29365
17-Sep-25,EQ,"9,076.50","9,136.00","9,070.00","9,072.50","9,085.00","9,084.00","9,101.21","12,774.00","7,089.35",172732,"1,57,20,69,665.50",23098
16-Sep-25,EQ,"9,032.00","9,099.00","9,020.00","9,025.00","9,095.00","9,072.50","9,060.38","12,774.00","7,089.35",219134,"1,98,54,38,398.00",35705
15-Sep-25,EQ,"9,026.50","9,091.50","8,964.00","8,999.50","9,030.50","9,025.00","9,012.18","12,774.00","7,089.35",325549,"2,93,39,06,045.00",44768
12-Sep-25,EQ,"9,115.00","9,205.00","8,979.50","9,113.50","9,025.00","8,999.50","9,072.18","12,774.00","7,089.35",481492,"4,36,81,80,891.00",49514
11-Sep-25,EQ,"9,243.50","9,243.50","9,075.00","9,244.00","9,119.00","9,113.50","9,126.00","12,774.00","7,089.35",472941,"4,31,60,58,930.00",60452
10-Sep-25,EQ,"9,425.00","9,440.00","9,180.00","9,383.00","9,232.50","9,244.00","9,299.45","12,774.00","7,089.35",454231,"4,22,40,97,654.00",64925
